"Product Group ID","Category ID","Sub Category ID","Manufacturer ID","Product Description","Product Information","Group Code"
1,1,5,4,"Liquitex Professional Spray Paint","This is a very different kind of spray paint. Liquitex Spray Paint is a fine art tool made with highly lightfast* artist-quality pigments. Unlike regular sprays, it uses low-odor professional paint made with water-based technology and low solvents. Perfect for the studio. *Fluorescent and metallic pigments are naturally less lightfast.","liquitex-professional-spray-paint"
2,1,2,4,"Liquitex Basics Acrylic","Basics is for all - from those new to painting, to experienced artists. Ideal if you’re a beginner. If you’re on a budget. Perfect for underpainting or sketching if you’re a serious artist. And for color scoping and exploration if you’re a creative professional. This medium viscosity paint is made with lightfast, artist-quality pigments in an expanded choice of colors.","liquitex-basics-acrylic"
3,1,2,4,"Liquitex Basics Acrylic Metallic","Basics is for all - from those new to painting, to experienced artists. Ideal if you’re a beginner. If you’re on a budget. Perfect for underpainting or sketching if you’re a serious artist. And for color scoping and exploration if you’re a creative professional. This medium viscosity paint is made with lightfast, artist-quality pigments in an expanded choice of colors.","liquitex-basics-acrylic-metallic"
4,1,2,4,"Liquitex Basics Acrylic Metallic Set 6x118ml","Turn up the luster and dive into a world of vibrant metallics. Discover six tubes of highly burnished, opaque acrylic paint, with a medium consistency bursting with metallic mica and artist quality pigments. 6 x 118ml tubes - Metallic Red, Metallic Magenta, Metallic Purple, Metallic Blue, Metallic Aqua Green, Metallic Green","liquitex-basics-acrylic-metallic-set-6x118ml"
5,1,2,4,"Liquitex Special Release Muted Collection Soft Body Acrylic Set","This is Soft Body Acrylic. This color set gives you endless mixing options, while Transparent Mixing White and Ivory Black can be used on their own, or to shade and tint.","liquitex-soft-body-acrylic-set-6x22ml-mixing"
6,1,2,4,"Liquitex Heavy Body Acrylic","This is high viscosity, pigment-rich professional acrylic color, ideal for impasto and texture. With a high concentration of lightfast artist-quality pigment and a satin finish, Heavy Body Acrylic gives you rich, permanent color, with crisp brush strokes and knife marks.","liquitex-heavy-body-acrylic"
7,2,7,13,"Winsor & Newton Canvas Professional Cotton Deep Edge","Traditional Canvas with medium texture, ideal for use with oil and acrylic paints.","winsor-newton-canvas-professional-cotton-deep-edge"
8,2,7,13,"Winsor & Newton Canvas Professional Linen Traditional","Our canvases are made to perform. Choose from a range of sizes and quality materials within both our Classic and Professional collections.","winsor-newton-canvas-professional-linen-traditional"
9,2,7,13,"Winsor & Newton Canvas Professional Cotton Traditional","Traditional Canvas with medium texture, ideal for use with oil and acrylic paints.","winsor-newton-canvas-professional-cotton-traditional"
10,1,2,4,"Liquitex Basics Acrylic Metallic Set 6x22ml","Turn up the luster and dive into a world of vibrant metallics. Discover six tubes of highly burnished, opaque acrylic paint, with a medium consistency bursting with metallic mica and artist quality pigments. 6 x 118ml tubes - Metallic Red, Metallic Magenta, Metallic Purple, Metallic Blue, Metallic Aqua Green, Metallic Green","liquitex-basics-acrylic-metallic-set-6x22ml"
11,1,1,13,"Winsor & Newton Artists’ Oil","Our Artist's Oil Colours, made from only the finest pigments. We carefully formulate each tone for stability, tinting strength and coverage. Use them thickly with palette knives or brushes, or thin them to a very fine glaze.","winsor-newton-artists-oil"
12,2,7,13,"Winsor & Newton Canvas Classic Cotton Deep Edge","Our canvases are made to perform. Choose from a range of sizes and quality materials within both our Classic and Professional collections.","winsor-newton-canvas-classic-cotton-deep-edge"
13,2,7,13,"Winsor & Newton Canvas Classic Cotton Traditional","Our canvases are made to perform. Choose from a range of sizes and quality materials within both our Classic and Professional collections.","winsor-newton-canvas-classic-cotton-traditional"
14,2,6,4,"Liquitex Professional Recycled Canvas Unprimed Roll","This canvas cloth is made with 100% recycled plastic bottles fastened to FSC certified wood. Suitable for both acrylic and oil paints, this high-quality surface has been tested by professional artists and within our lab so you can create with confidence while reducing your impact on the environment.","liquitex-professional-recycled-canvas-unprimed-roll"
15,1,1,13,"Winsor & Newton Artists’ Oil Set 10 x 21 ml","This introductory set contains a larger selection of 10 x 21ml tubes of Artists' Oil Colour. Includes, Winsor Yellow, Crimson Alizarine, Green Ultramarine Hue, Winsor Blue (Red Hue), Winsor Green, Yellow Ochre, Indian Red, Burnt Umber, Ivory Black, Titanium White. Actual contents may vary.","winsor-newton-artists-oil-set-10x21ml"
16,1,1,13,"Winsor & Newton Artists’ Oil Primary Colour Set","Mix, experiment, and create with our expertly formulated Primary Colours Set to inspire a palette of endless possibilities. 5x37ml Tubes: Winsor Lemon, Winsor Blue (Red Shade), Permanent Rose, Titanium White, Lamp Black","winsor-newton-artists-oil-set-primary-colour"
17,1,1,13,"Winsor & Newton Artists’ Oil Winsor Colour Set","Explore our carefully curated selection of Winsor Colours, offering a perfectly formulated palette showcasing our heritage and expertise. 5x37ml Tubes: Winsor Yellow, Winsor Orange, Winsor Red, Winsor Violet (Dioxazine), Winsor Blue (Green Shade)","winsor-newton-artists-oil-set-winsor-colour"
18,1,1,13,"Winsor & Newton Artists’ Oil Set 6 x 21 ml","A small tube set containing 6 x 21ml tubes of Winton Oil Colour. Includes: Cadmium Yellow Pale Hue, Cadmium Red Deep Hue, French Ultramarine, Viridian Hue, Yellow Ochre, Burnt Umber. Actual contents may vary.","winsor-newton-artists-oil-set-6x21ml"
19,1,3,13,"Winsor & Newton Professional Watercolour","Our Professional Watercolour range offers bright, vibrant colours and unrivalled performance. Watercolour, more than any other medium, reflects the unique characteristics of the pigments used and our Professional Watercolours use only the finest pigments, and are known for their brilliance, permanence and strength of colour. The transparency of our Professional Watercolour is achieved by our unique process of pigment dispersion during manufacture. The natural characteristics of each pigment highlights the paint’s transparency level.","winsor-newton-professional-watercolour"
20,1,3,13,"Winsor & Newton Cotman Watercolour","Fine Art Pigments Cotman Watercolours uses fine art pigments with reduced pigment load than the Professional Watercolour range, making them an accessible choice while still uncompromising on quality.","winsor-newton-cotman-watercolour"
21,1,1,13,"Winsor & Newton Griffin Alkyd Fast Drying Oil","Traditional oils, wonderful as they are, take a very long time to dry. That's why we created our Griffin Alkyds - they dry much more quickly and this means impasto and glazing techniques can be done in a single session.These oil tones have a slightly greater level of transparency for increased depth and clarity when glazing. Our Griffins are a bit more fluid in consistency than traditional oils and they dry with a somewhat more reflective surface, too.","winsor-newton-griffin-alkyd-fast-drying-oil"
22,1,3,13,"Winsor & Newton Cotman Watercolor Set - Compact Set","Discover 14 Cotman Watercolours made with quality, fine art pigments. This set is ideal for outdoor use as it includes a brush and palettes with multiple mixing areas. Field Set was previously named The Compact Set.","winsor-newton-cotman-watercolor-compact-set"
23,1,3,13,"Winsor & Newton Cotman Watercolor Set - Field Travel Set","Discover 12 Cotman Watercolours made with quality, fine art pigments in a travel set. This set is ideal for outdoor watercolour painting, especially for extensive colour mixing. The Field Travel Set opens up to reveal a travel brush, 60mL water bottle, 2 clip-on water pots, and 3 palettes with mutliple mixing areas. Field Travel Set previously named Field Plus.","winsor-newton-cotman-watercolor-set-field-box"
24,3,11,13,"Winsor & Newton Oil Brushes Artists Hog Brushes Bright","A short flat head. Creates sharp edges with control.Manufactured with a shorter bristle length, these brushes offer greater control to the artist.","winsor-newton-oil-brushes-artists-hog-brushes-bright"
25,3,11,13,"Winsor & Newton Oil Brushes Artists Hog Brushes Flat","A long flat head. For blending, glazing or covering large areas.This range of brushes features a longer bristle length for greater colour carrying capacity","winsor-newton-oil-brushes-artists-hog-brushes-flat"
26,3,11,13,"Winsor & Newton Oil Brushes Artists Hog Brushes Round","For fine detail, lines glazes.A traditional round shape head which is ideal for use when accuracy and detail is required.","winsor-newton-oil-brushes-artists-hog-brushes-round"
27,3,11,13,"Winsor & Newton Oil Brushes Artists Hog Brushes Filbert","Flat head with oval tip. Creates a broad mark with a soft edge.Similar to the Extra Long Filbert, these brushes have a shorter, thick shape for extra control.","winsor-newton-oil-brushes-artists-hog-brushes-filbert"
28,3,11,13,"Winsor & Newton Oil Brushes Artists' Synthetic Hog Brushes 4 Pack","This set comes with 4 Artists' Oil Synthetic Hog Brushes in a handy canvas wallet for storing and carrying, all designed to accompany the artist on their creative journey. The wallet has a Velcro closure and 7 inner pockets. 6 pockets are ideal for long handle brushes (max. 330 mm length) and 1 wider pocket can carry additional painting utensils.","winsor-newton-oil-brushes-artists-synthetic-hog-brushes-set"
29,3,11,13,"Winsor & Newton Oil Brushes Hog Brush Long Handle 5 Pack","A natural bristle brush developed for use with Winton Oil Colour.Made from good quality Chinese hog bristles, Winton Hog brushes are interlock constructed and hand-set into seamless corrosion-resistant ferrules. The bristles’ natural curve is retained even after heavy use, allowing more control and accuracy, whether painting with oils or acrylics.","winsor-newton-oil-brushes-hog-brush-long-handle-set"
30,3,12,13,"Winsor & Newton Acrylic Brushes Galeria Short Handle Round","Specifically designed for use with acrylic colour. The versatility of acrylic colour can place heavy demands on brushes so this range has been created to be strong, resilient and flexible.The mix of synthetic filaments provide responsiveness and control for thicker application of colour, whilst maintaining shape retention, regardless of how much water you use.","winsor-newton-acrylic-brushes-galeria-short-handle-round"
31,3,12,13,"Winsor & Newton Acrylic Brushes Galeria Long Handle Round","Specifically designed for use with acrylic colour. The versatility of acrylic colour can place heavy demands on brushes so this range has been created to be strong, resilient and flexible.The mix of synthetic filaments provide responsiveness and control for thicker application of colour, whilst maintaining shape retention, regardless of how much water you use.","winsor-newton-acrylic-brushes-galeria-long-handle-round"
32,3,12,13,"Winsor & Newton Acrylic Brushes Galeria Long Handle Bright","Specifically designed for use with acrylic colour. The versatility of acrylic colour can place heavy demands on brushes so this range has been created to be strong, resilient and flexible.The mix of synthetic filaments provide responsiveness and control for thicker application of colour, whilst maintaining shape retention, regardless of how much water you use.","winsor-newton-acrylic-brushes-galeria-long-handle-bright"
33,4,15,18,"Stillman & Birn Delta Series Wirebound Premium Sketchbook, 7"" x 10""","The Delta Series Sketchbook from Stillman & Birn features extra heavyweight, 270 gsm white paper wirebound with a high-density board, resistant to warping. The white, mixed media cold press paper has a substantial tooth and works well with all dry media, wet media, light washes, and inks. Portrait, 7"" x 10"".  25 sheets, 52 pages.","stillman-&-birn-delta-series-wirebound-premium-sketchbook"
34,4,15,18,"Stillman & Birn Beta Series Hardbound Premium Sketchbook, 5.5"" x 8.5""","The Beta Series Sketchbook from Stillman & Birn features extra heavyweight, 270 gsm white paper hardbound with a high-density board, resistant to warping. The white, mixed media cold press paper has a substantial tooth and works well with all wet media, dry media, light washes, and inks. Portrait, 5.5"" x 8.5"".  26 sheets, 52 pages.","stillman-&-birn-beta-series-hardbound-premium-sketchbook"
35,4,15,18,"Stillman & Birn Nova Series Wirebound Premium Sketchbook","The Nova Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm white paper wirebound with high density board, resistant to warping. The white, mixed media paper has a medium grain surface and works well with all dry media, light washes, and inks. This portrait sketchbook comes in a few different sizes and colors, select from the dropdown below. Portrait, 6"" x 8"" 50 sheets, 100 pages.","stillman-&-birn-nova-series-wirebound-premium-sketchbook"
36,3,12,13,"Winsor & Newton Acrylic Brushes Galeria Long Handle Filbert","Specifically designed for use with acrylic colour. The versatility of acrylic colour can place heavy demands on brushes so this range has been created to be strong, resilient and flexible.The mix of synthetic filaments provide responsiveness and control for thicker application of colour, whilst maintaining shape retention, regardless of how much water you use. Filbert has a flat head with an oval tip for creating a broad mark with a soft edge.","winsor-newton-acrylic-brushes-galeria-long-handle-filbert"
37,3,12,13,"Winsor & Newton Acrylic Brushes Galeria Long Handle Flat","Specifically designed for use with acrylic colour. The versatility of acrylic colour can place heavy demands on brushes so this range has been created to be strong, resilient and flexible.The mix of synthetic filaments provide responsiveness and control for thicker application of colour, whilst maintaining shape retention, regardless of how much water you use.","winsor-newton-acrylic-brushes-galeria-long-handle-flat"
38,3,12,13,"Winsor & Newton Acrylic Brushes University Series 233 Round","University is a range of white synthetic general-purpose brushes. Featuring distinctive red handles with white tips, University Brushes are stiff enough to use with more fluid oils yet soft enough to use with watercolours. Additionally, when used with oils and acrylics, brush marks are not as visible. University brushes offer excellent spring controllability and will last a considerable length of time if properly cared for. They offer an affordable option for students or those looking for a multi-purpose brush.","winsor-newton-acrylic-brushes-university-short-handle-round"
39,3,12,13,"Winsor & Newton Acrylic Brushes University Series 235 Flat","A short flat head. Creates sharp edges with controlThe brush head is the same as series 234, the longer handle is generally more suitable for oil and acrylic painters.","winsor-newton-acrylic-brushes-university-short-handle-flat"
40,3,12,13,"Winsor & Newton Acrylic Brushes University Series 238 Fan","University is a range of white synthetic general-purpose brushes. Featuring distinctive red handles with white tips, University Brushes are stiff enough to use with more fluid oils yet soft enough to use with watercolours. Additionally, when used with oils and acrylics, brush marks are not as visible. University brushes offer excellent spring controllability and will last a considerable length of time if properly cared for. They offer an affordable option for students or those looking for a multi-purpose brush. Fan is for blending, softening edges and creating textures.","winsor-newton-acrylic-brushes-university-long-handle-fan"
41,3,12,13,"Winsor & Newton Acrylic Brushes Foundation Brush Set","White synthetic brushes primarily for use with acrylic colour; also suitable for oil colour. Available in short and long handle packs.Contains Round 1, 3 & 5.","winsor-newton-acrylic-brushes-foundation-brush-set"
42,3,13,13,"Winsor & Newton Watercolor Brushes Sceptre Gold ll Brush","Sceptre Gold II is a range of high quality brushes made from a mix of sable and synthetic fibres. Ideal for working with watercolour and fluid oil colour, they are also suitable for use with acrylic, water mixable oil and alkyd fast drying oil colour.Sceptre Gold II is a perfect combination, giving a performance close to sable at a price close to synthetic.","winsor-newton-watercolor-brushes-sceptre-gold-ll-brush"
43,3,13,13,"Winsor & Newton Watercolor Brushes Cotman Series 111 Round","For fine detail, lines and washes. A traditional and popular head shape for all-purpose watercolour work. Can be used for broad strokes yet it will also form a sharp point.","winsor-newton-watercolor-brushes-cotman-series-111-round"
44,3,13,13,"Winsor & Newton Watercolor Brushes Cotman Series 333 Rigger","An extra fine point for painting lines, long scroll work and detail.","winsor-newton-watercolor-brushes-cotman-series-333-rigger"
45,1,4,13,"Winsor & Newton Designers Gouache","Winsor & Newton Designers Gouache offers a smooth, opaque professional gouache with high levels of pigmentation. All Winsor Newton Designer Gouache colors are fully intermixable and dry to a matte finish.  Available in 14 and 37 ml.","winsor-newton-designers-gouache"
46,3,13,13,"Winsor & Newton Watercolor Brushes Cotman Series 668 Filbert","An extra fine point for painting lines, long scroll work and detail.","winsor-newton-watercolor-brushes-cotman-series-668-filbert"
47,3,13,13,"Winsor & Newton Watercolor Brushes Cotman Series 667 Angled","The point can be used for detailed work, or it can be pressed to create a curved or straight wedge.","winsor-newton-watercolor-brushes-cotman-series-667-angled"
48,3,13,13,"Winsor & Newton Watercolor Brushes Professional Synthetic Sable Brush Set","This set comes with 4 Professional Watercolour Synthetic Sable Brushes in a handy canvas wallet for storing and carrying, all designed to accompany the artist on their creative journey. The wallet has a Velcro closure and 7 inner pockets. 6 pockets are ideal for short handle brushes (max. 240 mm length) and 1 wider pocket can carry additional painting utensils.","winsor-newton-watercolor-brushes-professionals-synthetic-sable-brush-set"
49,3,14,13,"Winsor & Newton Watercolor Brushes Professional Synthetic Sable Brush Set","This set comes with 4 Professional Watercolour Synthetic Sable Brushes in a handy canvas wallet for storing and carrying, all designed to accompany the artist on their creative journey. The wallet has a Velcro closure and 7 inner pockets. 6 pockets are ideal for short handle brushes (max. 240 mm length) and 1 wider pocket can carry additional painting utensils.","winsor-newton-watercolor-brushes-professionals-synthetic-sable-brush-set"
